City,ACCOMMODATION (721),ADMIN. & SUPPORT & WASTE MANAG. & REMED. SERVICES (56),"AGRICULTURE, FORESTRY, FISHING & HUNTING (11)","ARTS, ENTERTAINMENT AND RECREATION (71)",CONSTRUCTION (23),EDUCATIONAL SERVICES (61),FINANCE & INSURANCE (52),FOOD SERVICES & DRINKING PLACES (722),HEALTH CARE & SOCIAL ASSISTANCE (62),INFORMATION (51),MANAGEMENT OF COMPANIES & ENTERPRISES (55),MANUFACTURING (31-33),"MINING, QUARRYING, & OIL & GAS EXTRACTION (21)",OTHER SERVICES-EXCEPT PUBLIC ADMINISTRATION (81),PRIOR-PERIOD PAYMENTS & REFUNDS,PRIVATE MOTOR VEHICLE SALES,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES (54)",PUBLIC ADMINISTRATION (92),"REAL ESTATE, RENTAL & LEASING (53)","RETAIL-BUILD. MATERIAL, GARDEN EQUIP. & SUPPLIES DEALERS (444)",RETAIL-CLOTHING & CLOTHING ACCESSORIES STORES (448),RETAIL-ELECTRONICS & APPLIANCE STORES (443),RETAIL-FOOD & BEVERAGE STORES (445),RETAIL-FURNITURE & HOME FURNISHINGS STORES (442),RETAIL-GASOLINE STATIONS (447),RETAIL-GENERAL MERCHANDISE STORES (452),RETAIL-HEALTH & PERSONAL CARE STORES (446),RETAIL-MISCELLANEOUS STORE RETAILERS (453),RETAIL-MOTOR VEHICLE & PARTS DEALERS (441),RETAIL-NONSTORE RETAILERS (454),"RETAIL-SPORTING GOODS, HOBBY, MUSIC & BOOK STORES (451)",SPECIAL EVENT SALES,TRANSPORTATION & WAREHOUSING (48-49),UNKNOWN/NONCLASSIFIABLE,UTILITIES (22),WHOLESALE TRADE-DURABLE GOODS (423),WHOLESALE TRADE-ELECTRONIC MARKETS (425),WHOLESALE TRADE-NONDURABLE GOODS (424)
South Jordan,1400044.0,1344949.0,11778.0,1358802.0,1263712.0,386140.0,2434932.0,31477665.0,743794.0,14367399.0,90000.0,8273982.0,800000.0,6099946.0,-72076613.0,11750000.0,11563762.0,800000.0,4737053.0,4408091.0,18140171.0,9342207.0,36891539.0,1938349.0,4500000.0,102678095.0,2588621.0,6466895.0,99622462.0,36355569.0,6845999.0,300000.0,134359.0,123935.0,12500000.0,20956606.0,238283.0,838786.0
South Ogden,20000.0,93594.0,200000.0,600000.0,2302269.0,20010.0,268001.0,8045661.0,2229248.0,2953789.0,7000.0,5019439.0,1000.0,1355328.0,,2250000.0,608460.0,,866907.0,136971.0,675092.0,308305.0,7931870.0,247993.0,1500000.0,47065832.0,459541.0,2398358.0,21652238.0,5642294.0,1786305.0,200000.0,2000.0,,2750000.0,1733476.0,27167.0,392164.0
South Salt Lake,851046.0,5506661.0,4000.0,2609401.0,24976846.0,55249.0,990973.0,11272221.0,40000.0,6620263.0,8000.0,52570355.0,20000.0,16128987.0,8443617.0,2750000.0,4252313.0,200000.0,12379152.0,68730382.0,1013209.0,5594468.0,19205898.0,26889507.0,2500000.0,1791356.0,880069.0,27391166.0,90953747.0,16355142.0,1466428.0,150000.0,1082037.0,2946.0,8500000.0,117832417.0,451323.0,13831755.0
Spanish Fork,400000.0,442072.0,60000.0,1000000.0,736584.0,114952.0,465805.0,19389499.0,449803.0,6300824.0,25000.0,9689561.0,10000.0,8340148.0,1683398.0,6000000.0,2066316.0,4000000.0,3375150.0,34055099.0,4785654.0,1540969.0,13337268.0,1881072.0,4004273.0,60888888.0,2684054.0,9243417.0,35641403.0,14528441.0,3604983.0,250000.0,635833.0,9459.0,1500000.0,11986353.0,267200.0,2976457.0
Springdale,7099002.0,40079.0,1000.0,350000.0,35000.0,1000.0,25972.0,4955607.0,,254440.0,1000.0,74653.0,,8000.0,573675.0,60000.0,111008.0,,137858.0,25000.0,344876.0,32661.0,800000.0,13231.0,350000.0,396978.0,11290.0,1829799.0,1770.0,563779.0,1370341.0,,6000.0,,350000.0,181162.0,20000.0,218902.0
Springville,957633.0,524104.0,25000.0,25000.0,7411164.0,25654.0,539412.0,10743594.0,262427.0,4883850.0,7000.0,7415374.0,60000.0,3852167.0,2450669.0,4250000.0,1618108.0,4000000.0,2104780.0,3734395.0,929480.0,1509351.0,18186334.0,577678.0,5750000.0,23207188.0,550458.0,5404607.0,16759456.0,17993491.0,833134.0,90000.0,600000.0,1722.0,1250000.0,11960084.0,209782.0,1709176.0
St George,14350061.0,2127086.0,75253.0,3997226.0,12857699.0,364735.0,1773064.0,54453073.0,2048686.0,17842084.0,60000.0,19031111.0,700000.0,17294479.0,10277027.0,21750000.0,10465386.0,13000000.0,10555999.0,72100169.0,14533039.0,7053547.0,52519116.0,17517867.0,11270880.0,106678975.0,4478352.0,20155162.0,141592272.0,38699889.0,18036834.0,700000.0,733855.0,116719.0,8250000.0,58772064.0,921191.0,7198614.0
Syracuse,35000.0,486195.0,3000.0,800000.0,1640469.0,26514.0,423856.0,5112573.0,70000.0,2782220.0,15000.0,806783.0,5000.0,1435603.0,565886.0,5500000.0,823093.0,2000.0,1095829.0,846234.0,682872.0,1039001.0,11360791.0,9055656.0,500000.0,21412672.0,445899.0,694081.0,664686.0,12080397.0,288788.0,250000.0,45000.0,-2375.0,3500000.0,1843551.0,104216.0,401312.0
Taylorsville,300000.0,578798.0,10000.0,1492444.0,1298151.0,74530.0,2121107.0,24753763.0,133238.0,6367201.0,20000.0,2556912.0,6000.0,2064008.0,1429666.0,5000000.0,2857465.0,2000.0,1882288.0,588691.0,3770433.0,2974755.0,15555818.0,506793.0,4750000.0,28265174.0,1465501.0,5169981.0,8767169.0,16911627.0,7108508.0,,40000.0,11515.0,7500000.0,4478255.0,80641.0,400977.0
Tooele City,616303.0,296063.0,20000.0,400000.0,489060.0,64198.0,764930.0,13578688.0,831606.0,4444292.0,15000.0,11780718.0,600000.0,3304783.0,1854373.0,4500000.0,1119227.0,250000.0,2075455.0,18394140.0,1068437.0,1421788.0,16269789.0,1795857.0,3250000.0,37460362.0,1038113.0,2097420.0,21427162.0,12904534.0,2052797.0,400000.0,45000.0,19813.0,5000000.0,13409813.0,103751.0,394255.0
Tremonton,500000.0,842615.0,1000.0,350000.0,1111860.0,5000.0,116639.0,3699553.0,150000.0,1193882.0,2000.0,1667413.0,1000.0,1473013.0,1185149.0,2000000.0,997490.0,,500977.0,1397217.0,710915.0,311995.0,8750000.0,179018.0,2250000.0,965049.0,162653.0,377506.0,11113606.0,3452636.0,1677789.0,100000.0,90000.0,4181.0,1500000.0,7168534.0,49332.0,1492319.0
Vernal,1366332.0,129246.0,5000.0,250000.0,163870.0,55022.0,440120.0,9828479.0,312370.0,5010425.0,15000.0,2184376.0,1357621.0,1855991.0,2161469.0,2000000.0,632234.0,,1724879.0,13544102.0,2913826.0,1005346.0,11906613.0,1495927.0,2000000.0,30156111.0,656967.0,3529893.0,10314423.0,3938925.0,4531873.0,150000.0,2441893.0,5906.0,2250000.0,3356616.0,67164.0,255013.0
Washington City,3447023.0,333700.0,70000.0,1000000.0,958055.0,29152.0,447466.0,7911675.0,6000.0,3307460.0,15000.0,4730844.0,25000.0,2963746.0,1390448.0,7500000.0,1463916.0,3250000.0,2033986.0,32752659.0,1836166.0,2114016.0,6434026.0,2149426.0,3500000.0,31750403.0,445538.0,4497533.0,6531586.0,12041451.0,1426364.0,90000.0,450000.0,-3053.0,2500000.0,5593701.0,81309.0,581692.0
West Bountiful,250000.0,32782.0,150000.0,500000.0,83268.0,4000.0,71199.0,2983100.0,4000.0,1073651.0,15000.0,999868.0,,626455.0,635257.0,800000.0,336305.0,1000.0,976620.0,12582237.0,2025723.0,45153.0,1000.0,1710680.0,600000.0,36019823.0,415200.0,1601702.0,10752905.0,1823535.0,1099139.0,,80000.0,2085.0,1250000.0,396755.0,14258.0,47461.0
West Jordan,900000.0,1301491.0,531378.0,1047568.0,11777526.0,63898.0,2619291.0,37646935.0,928222.0,17139858.0,100000.0,25149147.0,600000.0,10241788.0,4131037.0,14250000.0,17622791.0,8000.0,8019738.0,87734919.0,7124456.0,20164501.0,60152573.0,4727800.0,11321205.0,68963132.0,3822836.0,22819743.0,9709368.0,43369712.0,7175571.0,800000.0,428288.0,17801.0,16000000.0,33065417.0,819763.0,12497306.0
West Valley City,3388467.0,2464622.0,67426.0,779010.0,31205099.0,118015.0,3428025.0,46082614.0,615206.0,20871071.0,25000.0,28115302.0,800000.0,15847870.0,16608199.0,13000000.0,10217647.0,600000.0,20541840.0,47134375.0,9395907.0,11561585.0,68810167.0,3666125.0,15871204.0,96044470.0,4806563.0,11764722.0,108346015.0,37166860.0,8702867.0,800000.0,1732509.0,53850.0,18750000.0,98241263.0,628552.0,2569578.0
Woods Cross,700000.0,328649.0,1000.0,2000.0,571677.0,53529.0,201040.0,4583215.0,25000.0,3069203.0,5000.0,3803899.0,-138000.0,6654511.0,3272525.0,1500000.0,806984.0,,1476170.0,4516160.0,463487.0,1118520.0,12233500.0,1121977.0,450000.0,1817744.0,306999.0,3565776.0,43301393.0,4942667.0,2157707.0,2000.0,543227.0,17465.0,1750000.0,4349336.0,82048.0,152985.0
